Logger:         	Automatically truncated logfile to 1048576, MadelineProto 8.3.6
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
FeedLoop:       	Resumed update feed loop channel -1001138327678
UpdateHandler:  	Saving update of type updateEditChannelMessage
PingLoop:       	Ping DC 2.0
PingLoop:       	Ping DC 2.0
Session:        	Garbage collected 30 incoming messages in DC 2, 0 left
Session:        	Garbage collected 29 outgoing messages in DC 2, 0 left
PingLoop:       	Ping DC 2.0
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
FeedLoop:       	Resumed update feed loop channel -1001138327678
UpdateHandler:  	Saving update of type updateEditChannelMessage
PingLoop:       	Ping DC 2.0
UpdateHandler:  	Parsing updates (updateShort) received via the socket...
FeedLoop:       	Resumed update feed loop generic
UpdateHandler:  	Saving update of type updateMessagePoll
Session:        	Garbage collected 31 incoming messages in DC 2, 0 left
Session:        	Garbage collected 30 outgoing messages in DC 2, 0 left
PingLoop:       	Ping DC 2.0
PingLoop:       	Ping DC 2.0
Session:        	Garbage collected 28 incoming messages in DC 2, 0 left
Session:        	Garbage collected 31 outgoing messages in DC 2, 0 left
PingLoop:       	Ping DC 2.0
PingLoop:       	Ping DC 2.0
Session:        	Garbage collected 28 incoming messages in DC 2, 0 left
Session:        	Garbage collected 30 outgoing messages in DC 2, 0 left
PingLoop:       	Ping DC 2.0
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
FeedLoop:       	Resumed update feed loop channel -1001138327678
UpdateHandler:  	Saving update of type updateEditChannelMessage
PingLoop:       	Ping DC 2.0
UpdateHandler:  	Parsing updates (updateShort) received via the socket...
FeedLoop:       	Resumed update feed loop generic
UpdateHandler:  	Saving update of type updateMessagePoll
Session:        	Garbage collected 31 incoming messages in DC 2, 0 left
Session:        	Garbage collected 32 outgoing messages in DC 2, 0 left
PingLoop:       	Ping DC 2.0
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
FeedLoop:       	Resumed update feed loop channel -1001138327678
UpdateHandler:  	Saving update of type updateEditChannelMessage
UpdateHandler:  	Saving update of type updateEditChannelMessage
FeedLoop:       	Resumed update feed loop channel -1001138327678
